"Name","NumberValue","BooleanValue","TextValue","NumberArray","StringArray","AndroidNumberValue","AndroidBooleanValue","AndroidTextValue","AndroidNumberArrayValue","AndroidStringArrayValue"
"SCORE_MULTIPLIER_ON_ATTACK_LOSE",2,,,,,,,,,
"HIDDEN_BUILDING_APPEAR_DESTRUCTION_PERCENTAGE",50,,,,,,,,,
"WORKER_FOR_ZERO_BUILD_TIME",,"TRUE",,,,,,,,
"GAME_FACEBOOK_URL",,,"http://www.facebook.com/447775968580065",,,,,,,
"TRAIN_CANCEL_MULTIPLIER",100,,,,,,,,,
"BUILD_CANCEL_MULTIPLIER",50,,,,,,,,,
"NO_MONEY_COLOR_RED",255,,,,,,,,,
"NO_MONEY_COLOR_GREEN",0,,,,,,,,,
"NO_MONEY_COLOR_BLUE",0,,,,,,,,,
"SCORING_ONLY_FROM_MM",,"FALSE",,,,,,,,
"MAJOR_LIMIT",20000,,,,,,,,,
"SUPER_LIMIT",100000,,,,,,,,,
"APPLY_REPLAY_COMPATIBILITY_IF_CONTENT_VERSION",0,,,,,,,,,
"MIN_COMPATIBLE_CONTENT_VERSION_FOR_REPLAY",0,,,,,,,,,
"LOW_MEM_DEVICES",,,,,"iPod1",,,,,
,,,,,"iPod2",,,,,
,,,,,"iPod3",,,,,
,,,,,"iPod4",,,,,
,,,,,"iPad1",,,,,
,,,,,"iPhone2",,,,,
,,,,,"st25i",,,,,
,,,,,"iPad2",,,,,
"HIGH_GFX_DEVICES",,,,,"iPad2",,,,,
,,,,,"iPad3",,,,,
,,,,,"iPod5",,,,,
,,,,,"iPhone4",,,,,
,,,,,"iPhone5",,,,,
"SEND_EVENTS_TO_TAPJOY",,"TRUE",,,,,,,,
"SEND_EVENTS_TO_CHARTBOOST",,"TRUE",,,,,,,,
"SEND_EVENTS_TO_FLURRY",,"TRUE",,,,,,,,
"SEND_EVENTS_TO_ADCOLONY",,"FALSE",,,,,,,,
"SEND_EVENTS_TO_INMOBI",,"TRUE",,,,,,,,
"SPEED_UP_CONFIRMATION_ENABLED",,"TRUE",,,,,,,,
"DISABLE_ANIMATOR_RESET",,"FALSE",,,,,,,,
"BUFFER_SERVER_COMMANDS",,"TRUE",,,,,,,,
"HIDE_ISO_ENGINE_IN_SHOP",,"TRUE",,,,,,,,
"SPELL_CANCEL_MULTIPLIER",50,,,,,,,,,
"GAME_CENTER_CHALLENGES_ENABLED",,"TRUE",,,,,,,,
"COMPLETE_CONSTRUCTIONS_ONLY_HOME",,"FALSE",,,,,,,,
"ALLIANCE_SCORE_LIMIT",,,,0,,,,,,
,,,,200,,,,,,
,,,,400,,,,,,
,,,,600,,,,,,
,,,,800,,,,,,
,,,,1000,,,,,,
,,,,1100,,,,,,
,,,,1200,,,,,,
,,,,1300,,,,,,
,,,,1400,,,,,,
,,,,1500,,,,,,
,,,,1600,,,,,,
,,,,1700,,,,,,
,,,,1800,,,,,,
,,,,1900,,,,,,
,,,,2000,,,,,,
,,,,2100,,,,,,
,,,,2200,,,,,,
,,,,2300,,,,,,
,,,,2400,,,,,,
,,,,2500,,,,,,
,,,,2600,,,,,,
,,,,2700,,,,,,
,,,,2800,,,,,,
,,,,2900,,,,,,
,,,,3000,,,,,,
,,,,3100,,,,,,
,,,,3200,,,,,,
,,,,3300,,,,,,
,,,,3400,,,,,,
,,,,3500,,,,,,
,,,,3600,,,,,,
"MAX_ALLIANCE_FEEDBACK_MESSAGE_LENGTH",100,,,,,,,,,
"LOOT_MULTIPLIER_BY_TH_DIFF",,,,200,,,,,,
,,,,200,,,,,,
,,,,150,,,,,,
,,,,110,,,,,,
,,,,100,,,,,,
,,,,90,,,,,,
,,,,50,,,,,,
,,,,25,,,,,,
,,,,5,,,,,,
"KILL_UNITS_WITH_HOUSING",,"FALSE",,,,,,,,
"FEEDBACK_CATEGORIES",,,,,"Purchasing Issue",,,,,
,,,,,"Connection Issue",,,,,
,,,,,"Report Problem",,,,,
,,,,,"Feedback",,,,,
"CHAR_VS_CHAR_RANDOM_DIST_LIMIT",100,,,,,,,,,
"SWITCH_CONFIRMATION_XP_LEVEL",7,,,,,,,,,
"REPEAT_ATTACK_INSTRUCTION_TIME",5,,,,,,,,,
"ENABLE_DEFENDING_ALLIANCE_TROOP_JUMP",,"TRUE",,,,,,,,
"RESOURCE_PRODUCTION_BOOST_MULTIPLIER",2,,,,,,,,,
"BARRACKS_BOOST_MULTIPLIER",4,,,,,,,,,
"SPELL_FACTORY_BOOST_MULTIPLIER",4,,,,,,,,,
"RESOURCE_PRODUCTION_BOOST_MINS",1440,,,,,,,,,
"BARRACKS_BOOST_MINS",45,,,,,,,,,
"SPELL_FACTORY_BOOST_MINS",720,,,,,,,,,
"BUNKER_SEARCH_TIME",250,,,,,,,,,
"SNOWFLAKE_CNT",0,,,,,,,,,
"SNOWFLAKE_CNT_LOW",0,,,,,,,,,
"SNOWFLAKE_CNT_COMBAT",0,,,,,,,,,
"SNOWFLAKE_CNT_COMBAT_LOW",0,,,,,,,,,
"RESOURCE_PRODUCTION_LOOT_PERCENTAGE_DARK_ELIXIR",75,,,,,,,,,
"RESOURCE_STORAGE_LOOT_PERCENTAGE_DARK_ELIXIR",5,,,,,,,,,
"HERO_HEALTH_SPEED_UP_COST_MULTIPLIER",300,,,,,,,,,
"HERO_UPGRADE_CANCEL_MULTIPLIER",50,,,,,,,,,
"ALLIANCE_TROOPS_PATROL",,"FALSE",,,,,,,,
"FORGET_TARGET_TIME",6000,,,,,,,,,
"WALL_ANIMATE_CYCLE",45,,,,,,,,,
"WALL_ANIMATE_CYCLE_LOW_END",90,,,,,,,,,
"LOW_END_WALL_CORNERS",,"TRUE",,,,,,,,
"HERO_HEAL_MULTIPLIER",50,,,,,,,,,
"CHAR_VS_CHAR_RADIUS_FOR_ATTACKER",13,,,,,,,,,
"HERO_STOP_TIME",5000,,,,,,,,,
"USE_HERO_HEALTH_FULL_NOTIFICATION",,"FALSE",,,,,,,,
"SCORE_LIMIT_FOR_SHORTER_SHIELD",2500,,,,,,,,,
"SCORE_STEP_FOR_SHORTER_SHIELD",100,,,,,,,,,
"LOW_SHIELD_HOURS",,,,12,,,,,,
"MEDIUM_SHIELD_HOURS",,,,16,,,,,,
"SEND_EVENTS_TO_MOBILE_APP_TRACKER",,"TRUE",,,,,,,,
"USE_ARMY_READY_NOTIFICATION",,"TRUE",,,,,,,,
"ARMY_READY_CAPACITY_LEFT",5,,,,,,,,,
"DEFAULT_TO_LOCAL_HIGHSCORES",,"FALSE",,,,,,,,
"SHOW_IAP_NOTIFICATION_POPUP",,"TRUE",,,,,"FALSE",,,
"SEND_ONLY_INSTALL_EVENTS_TO_APP_TRACKER",,"TRUE",,,,,,,,
"SEND_ONLY_INSTALL_EVENTS_TO_OTHER_SDKS",,"TRUE",,,,,,,,
"ENABLE_LOCAL_RANKINGS",,"TRUE",,,,,,,,
"ENABLE_LEAGUES",,"TRUE",,,,,,,,
"SPELL_SPEED_UP_COST_MULTIPLIER",200,,,,,,,,,
"WALL_BREAKER_SMART_CNT_LIMIT",30,,,,,,,,,
"WALL_BREAKER_SMART_RADIUS",2500,,,,,,,,,
"HIGH_SCORE_EMPTY_LINES",,,,10,,,,,,
,,,,50,,,,,,
,,,,100,,,,,,
,,,,150,,,,,,
,,,,200,,,,,,
"USE_NEW_LOADING_BAR_LOGIC",,"TRUE",,,,,,,,
"USE_WALL_MOVE_TOOL",,"TRUE",,,,,,,,
"CLAN_MAIL_COOLDOWN",43200,,,,,,,,,
"USE_LABORATORY_UPGRADE_READY_NOTIFICATION",,"TRUE",,,,,,,,
"RESTART_ATTACK_TIMER_ON_AREA_DAMAGE_TURRETS",,"FALSE",,,,,,,,
"CASTLE_TROOP_TARGET_FILTER",,"TRUE",,,,,,,,
"WALL_COST_BASE",1000,,,,,,,,,
"SHOW_DONATION_STATS_FOR_ALL_CLANS",,"TRUE",,,,,,,,
"MAX_LEVEL_NO_ADS",4,,,,,,,,,
"PAYMENT_LIMIT_CONFIRMATION_ENABLED",,"TRUE",,,,,,,,
"PAYMENT_LIMIT_CONFIRMATION_USD",15000,,,,,,,,,
"PAYMENT_LIMIT_CONFIRMATION_TIME",15,,,,,,,,,
"TROOP_REQ_TEXT_MINIMUM_CLAN_CASTLE_LEVEL",0,,,,,,,,,
"HUD_PRINT_TIME",6,,,,,,,,,
"HUD_PRINT_TIME_LONG",30,,,,,,,,,
"GAME_WEIBO_URL",,,"http://e.weibo.com/coc365",,,,,,,
"CONFIRM_WORD_MAX_LENGTH",15,,,,,,,,,
"ONLY_INSTALLED_FACEBOOK_FRIENDS",,"TRUE",,,,,,,,
"HIDE_ISO_ENGINE_IN_BIG_POPUPS",,"TRUE",,,,,,,,
"HIGE_ISO_ENGINE_UNDER_CHAT",,"TRUE",,,,,,,,
"DISABLE_MASK_FROM_EMPTY_INPUT_FIELD",,"TRUE",,,,,,,,
"GAME_APPBANK_URL",,,"http://www.appbank.net/2013/06/15/iphone-application/619819.php",,,,,,,
"TROOP_REQUEST_SPEED_UP_COST_MULTIPLIER",600,,,,,,,,,
"USE_TROOP_REQUEST_SPEED_UP",,"TRUE",,,,,,,,
"REMOVE_REVENGE_WHEN_BATTLE_IS_LOADED",,"FALSE",,,,,,,,
"USE_NEW_SPEEDUP_CALCULATION",,"TRUE",,,,,,,,
"REPLAY_SHARE_COOLDOWN",1800,,,,,,,,,
"ELDER_KICK_COOLDOWN",1200,,,,,,,,,
"GAME_EXTERNAL_URL",,,"http://app.famitsu.com/?p=185000",,,,,,,
"DEVICE_LINK_CODE_LENGTH",12,,,,,,,,,
"DEVICE_LINK_CODE_VALID_SECONDS",300,,,,,,,,,
"ANDROID_HIGH_MEMORY_LIMIT",512,,,,,,,,,
"ANDROID_LOW_GFX_DEVICES",,,,,"GT-N7000",,,,,
,,,,,"GT-i8190N",,,,,
,,,,,"U8950",,,,,
,,,,,"SM-T211",,,,,
,,,,,"sgp312",,,,,
"USE_OLD_RELOAD",,"FALSE",,,,,,,,
"USE_DEVICE_LINK",,"TRUE",,,,,,,,
"RECONNECT_THROUGH_PRODUCTION",,"TRUE",,,,,,,,
"GOOGLE_SERVICE_ACHIEVEMENTS",,"TRUE",,,,,,,,
"GOOGLE_SERVICE_REAUTHORIZE",,,,,,,,,,
"GOOGLE_SERVICE_POPUP_AFTER_FIRST_PURCHASE",,"TRUE",,,,,,,,
"GOOGLE_SERVICE_POPUP_AFTER_TOWN_HALL_LEVEL",4,,,,,,,,,
"SCALE_UNIT_UI_IN_BATTLE",,"TRUE",,,,,,,,
"HARD_BIND_TOWN_HALL_LEVEL",4,,,,,,,,,
"SEND_PERFORMANCE_EVENTS",,"FALSE",,,,,"TRUE",,,
"PERFORMANCE_EVENTS_INTERVAL_SECONDS",99999,,,,,60,,,,
"CONTENT_UPDATE_HASH_CHECK",,"TRUE",,,,,,,,
"VILLAGE_EDIT_MODE_MINIMUM_TH_LEVEL",3,,,,,,,,,
"PARTNER_AFTER_LOGIN",,"TRUE",,,,,,,,
"SHOW_GEMS_PURCHASE_BUTTON_DURING_TUTORIAL",,"FALSE",,,,,,,,
"RECONNECT_AFTER_SLEEPING_SECONDS",180,,,,,,,,,
